time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0010151863098144531,0.010143518447875977,[]
61,49,0.0012323856353759766,0.019106149673461914,[]
121,69,0.001432180404663086,0.026607275009155273,[]
181,91,0.0016443729400634766,0.04491925239562988,[]
241,100,0.0019791126251220703,0.03449201583862305,[]
301,98,0.001855611801147461,0.04268240928649902,[]
361,91,0.0017354488372802734,0.034168243408203125,[]
421,80,0.001699209213256836,0.033632516860961914,[]
481,74,0.001657247543334961,0.03536725044250488,[]
541,61,0.0012140274047851562,0.014815807342529297,[]
601,45,0.0011343955993652344,0.00934147834777832,[]
661,40,0.001096487045288086,0.010786056518554688,[]
721,30,0.0010957717895507812,0.006051301956176758,[]
781,12,0.0009772777557373047,0.0029697418212890625,[]
841,3,0.0007197856903076172,0.0009427070617675781,[]
