time-step,number of users,number of winners,prices
1,32,27,0
61,49,42,8434.18
121,69,51,11023.59
181,91,61,20717.48
241,100,61,18828.89
301,98,66,20189.97
361,91,53,20653.450000000004
421,80,53,13348.22
481,74,65,18984.91
541,61,34,9569.939999999999
601,45,20,7352.040000000001
661,40,21,5600.030000000001
721,30,15,5501.04
781,12,11,4725.900000000001
841,3,3,0
