time-step,number of users,number of winners,social welfare
1,25,19,10414
61,25,19,10414
121,25,12,6052
181,25,19,10414
241,25,12,6052
301,25,12,6052
361,25,12,6052
421,25,12,6052
481,25,12,6052
541,25,12,6052
601,25,19,10414
661,25,19,10414
721,25,12,6052
781,25,12,6052
841,25,12,6052
