time-step,number of users,avg latency (for the allocated)
1,32,0.2048030157523871
61,43,0.2498829031325807
121,72,0.35301689373861034
181,86,0.2685552139158278
241,97,0.20478774523473942
301,100,0.22926939455449044
361,100,0.15630564216843582
421,100,0.09769611117718574
481,100,0.36629602860077376
541,100,0.23366483167049926
601,100,0.1411768167586563
661,95,0.39400030705120015
721,82,0.2782635985694063
781,62,0.30710860706709037
841,51,0.3559881998858457
901,46,0.22620233393881575
961,38,0.17898534427259954
1021,36,0.35228132417482777
1081,19,0.28750668612655966
1141,15,0.3162902372971221
1201,11,0.16840005973387198
1261,9,0.3339215731203254
