time-step,number of users,number of winners,social welfare
1,32,29,13406
61,43,41,19411
121,72,69,34964
181,86,62,36270
241,97,63,34593
301,100,75,41570
361,100,59,34621
421,100,41,23655
481,100,93,49412
541,100,75,41571
601,100,55,32388
661,95,94,48786
721,82,67,35726
781,62,59,31985
841,51,50,25830
901,46,37,17626
961,38,37,17504
1021,36,36,16283
1081,19,19,8336
1141,15,15,6937
1201,11,12,5937
1261,9,9,4328
