time-step,number of users,number of winners,prices
1,30,18,368.5625
61,30,19,745.25
121,30,21,367.5625
181,30,20,447.25
241,30,21,367.5625
301,28,18,364.5625
361,28,20,725.7625
421,23,15,749.1625
481,21,16,437.5625
541,15,13,470.20000000000005
601,15,14,470.20000000000005
661,13,14,319.20000000000005
721,9,9,0
781,7,7,0
841,6,6,0
