time-step,number of users,number of winners,social welfare
1,30,18,1912
61,30,19,2066
121,30,21,2353
181,30,20,2199
241,30,21,2353
301,28,18,1955
361,28,20,2259
421,23,15,1678
481,21,16,1885
541,15,13,1538
601,15,14,1690
661,13,14,1679
721,9,9,1039
781,7,7,792
841,6,6,711
