time-step,number of users,exec time,pricing time,two-phases time
1,32,0.746490478515625,40.61882162094116,"[0.015702009201049805, 0.7301909923553467]"
61,49,1.1468369960784912,92.99905705451965,"[0.036864280700683594, 1.1094810962677002]"
121,69,1.619713306427002,157.7632598876953,"[0.0338287353515625, 1.5854148864746094]"
181,91,4.098437786102295,371.32844376564026,"[0.07776975631713867, 4.019912004470825]"
241,100,4.468869924545288,325.0624294281006,"[0.0598597526550293, 4.408204793930054]"
301,98,2.2839622497558594,189.97939443588257,"[0.03982090950012207, 2.2435202598571777]"
361,91,2.103989362716675,176.1940882205963,"[0.03636455535888672, 2.067166566848755]"
421,80,1.8433804512023926,114.81832981109619,"[0.029077768325805664, 1.813781976699829]"
481,74,1.611267328262329,132.60506534576416,"[0.03354144096374512, 1.577345609664917]"
541,61,1.3149311542510986,47.4467031955719,"[0.015520334243774414, 1.2989764213562012]"
601,45,0.9739677906036377,30.188696146011353,"[0.01305699348449707, 0.9605309963226318]"
661,40,0.8633298873901367,21.691253662109375,"[0.010921716690063477, 0.8520183563232422]"
721,30,0.6476848125457764,9.891941785812378,"[0.006353139877319336, 0.6409566402435303]"
781,12,0.2720913887023926,5.935820579528809,"[0.010244369506835938, 0.26148438453674316]"
841,3,0.07114148139953613,0.21396207809448242,"[0.0014584064483642578, 0.06933808326721191]"
