time-step,number of users,number of winners,prices
1,32,27,0
61,49,44,3893.39
121,69,51,5659.6900000000005
181,91,63,9347.92
241,100,61,12337.460000000001
301,98,67,10834.03
361,91,53,16708.100000000006
421,80,53,3872.61
481,74,67,15907.34
541,61,34,9569.939999999999
601,45,20,5600.030000000001
661,40,22,0
721,30,15,5501.04
781,12,12,1075.7800000000002
841,3,3,0
