time-step,number of users,exec time,pricing time,two-phases time
1,32,0.8175461292266846,25.480226755142212,"[0.01558065414428711, 0.8015308380126953]"
61,49,1.1334295272827148,90.02645945549011,"[0.036507606506347656, 1.0964207649230957]"
121,69,1.568418264389038,115.69142961502075,"[0.03258514404296875, 1.5353493690490723]"
181,91,2.082679033279419,189.07419681549072,"[0.04092812538146973, 2.04126238822937]"
241,100,2.274477958679199,165.80335474014282,"[0.03143143653869629, 2.242562770843506]"
301,98,2.2568867206573486,187.4524495601654,"[0.037316083908081055, 2.219080924987793]"
361,91,2.0847396850585938,174.1514437198639,"[0.03646421432495117, 2.047743558883667]"
421,80,1.820512294769287,117.22214245796204,"[0.02811741828918457, 1.791917085647583]"
481,74,1.694075584411621,139.7965111732483,"[0.03556251525878906, 1.6580266952514648]"
541,61,1.378138780593872,49.78470706939697,"[0.01642918586730957, 1.3612380027770996]"
601,45,1.0246026515960693,31.942161560058594,"[0.014013051986694336, 1.0100882053375244]"
661,40,0.9070792198181152,22.807048797607422,"[0.011604547500610352, 0.8950455188751221]"
721,30,0.6803238391876221,10.263797760009766,"[0.006744384765625, 0.6731865406036377]"
781,12,0.2860250473022461,6.234907627105713,"[0.010543346405029297, 0.2750864028930664]"
841,3,0.0746772289276123,0.2277812957763672,"[0.0015757083892822266, 0.07271575927734375]"
