time-step,number of users,number of winners,social welfare
1,25,24,10808
61,25,24,10808
121,25,12,6052
181,25,24,10808
241,25,12,6052
301,25,12,6052
361,25,12,6052
421,25,12,6052
481,25,12,6052
541,25,12,6052
601,25,24,10808
661,25,24,10808
721,25,12,6052
781,25,12,6052
841,25,12,6052
