time-step,number of users,number of winners,social welfare
1,8,8,4486
61,8,8,4486
121,14,12,6201
181,18,17,9447
241,24,24,12833
301,25,25,13645
361,25,18,10292
421,25,10,6186
481,25,10,6186
541,25,22,12082
601,25,25,13645
661,21,17,7680
721,13,13,6272
781,10,9,4204
