time-step,number of users,number of winners,prices
1,25,24,0
61,25,24,0
121,25,12,0
181,25,24,0
241,25,12,0
301,25,12,0
361,25,12,0
421,25,12,0
481,25,12,0
541,25,12,0
601,25,24,0
661,25,24,0
721,25,12,0
781,25,12,0
841,25,12,0
