time-step,number of users,exec time,pricing time,two-phases time
1,144,0.0023369789123535156,0.15135645866394043,[]
61,190,0.0037436485290527344,0.22623085975646973,[]
121,255,0.003571033477783203,0.3123934268951416,[]
181,321,0.004151105880737305,0.36356425285339355,[]
241,382,0.004950761795043945,0.5707430839538574,[]
301,436,0.005019187927246094,0.36577320098876953,[]
361,480,0.006870746612548828,0.6535067558288574,[]
421,493,0.0057523250579833984,0.4388763904571533,[]
481,496,0.005976200103759766,0.6074056625366211,[]
541,500,0.00658869743347168,0.5973072052001953,[]
601,500,0.007704496383666992,0.7406105995178223,[]
661,500,0.008461713790893555,0.6572754383087158,[]
721,500,0.007970809936523438,0.8952085971832275,[]
781,500,0.007561206817626953,0.6935875415802002,[]
841,494,0.005882740020751953,0.5828630924224854,[]
901,484,0.006484508514404297,0.6178762912750244,[]
961,458,0.006430864334106445,0.4399247169494629,[]
1021,402,0.005499601364135742,0.5094165802001953,[]
1081,359,0.005865812301635742,0.3858222961425781,[]
1141,299,0.004680156707763672,0.3309605121612549,[]
1201,247,0.0033578872680664062,0.24758148193359375,[]
1261,199,0.0029938220977783203,0.16950249671936035,[]
1321,153,0.0025310516357421875,0.14197707176208496,[]
1381,122,0.003152132034301758,0.08886408805847168,[]
1441,93,0.00240325927734375,0.048142433166503906,[]
1501,75,0.0017156600952148438,0.04476666450500488,[]
1561,48,0.0014424324035644531,0.02013683319091797,[]
1621,45,0.0013458728790283203,0.031144380569458008,[]
1681,32,0.001203298568725586,0.013029336929321289,[]
1741,28,0.0015137195587158203,0.011711359024047852,[]
1801,26,0.0011272430419921875,0.01640486717224121,[]
1861,20,0.0011303424835205078,0.01154947280883789,[]
1921,9,0.0012373924255371094,0.04288482666015625,[]
