time-step,number of users,exec time,pricing time,two-phases time
1,32,1.6886365413665771,93.8977222442627,"[0.015546560287475586, 1.6726353168487549]"
61,49,3.1828863620758057,389.2800498008728,"[0.036144256591796875, 3.1462676525115967]"
121,69,6.892694473266602,545.0648465156555,"[0.0332643985748291, 6.858936309814453]"
181,91,8.69536304473877,1003.9486217498779,"[0.041785478591918945, 8.653054237365723]"
241,100,21.999390602111816,1557.9832334518433,"[0.05951046943664551, 21.93912386894226]"
301,98,11.420194864273071,1377.5392935276031,"[0.03696942329406738, 11.382771968841553]"
361,91,10.86055874824524,888.3468008041382,"[0.037981271743774414, 10.822095394134521]"
421,80,8.696515798568726,659.1082520484924,"[0.029665470123291016, 8.666372537612915]"
481,74,6.229179859161377,699.4910657405853,"[0.03583812713623047, 6.192792654037476]"
541,61,6.134570360183716,219.64776945114136,"[0.016017913818359375, 6.118135452270508]"
601,45,4.197763204574585,126.78640127182007,"[0.012816667556762695, 4.184559345245361]"
661,40,3.7351348400115967,89.42211055755615,"[0.010066032409667969, 3.7246928215026855]"
721,30,2.17805814743042,30.239792346954346,"[0.006463050842285156, 2.1712019443511963]"
781,12,0.5140793323516846,16.90122103691101,"[0.009180784225463867, 0.5045392513275146]"
841,3,0.13818860054016113,0.4071385860443115,"[0.0015459060668945312, 0.1362440586090088]"
