time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0010638236999511719,0.009953737258911133,[]
61,49,0.0011811256408691406,0.01931309700012207,[]
121,69,0.0013360977172851562,0.023412227630615234,[]
181,91,0.0016493797302246094,0.04389595985412598,[]
241,100,0.0016531944274902344,0.02989935874938965,[]
301,98,0.001661539077758789,0.03604626655578613,[]
361,91,0.0015151500701904297,0.02649831771850586,[]
421,80,0.0014793872833251953,0.028048038482666016,[]
481,74,0.00145721435546875,0.03284096717834473,[]
541,61,0.001173257827758789,0.011671304702758789,[]
601,45,0.0011429786682128906,0.007794857025146484,[]
661,40,0.0013058185577392578,0.01046299934387207,[]
721,30,0.001104593276977539,0.005942821502685547,[]
781,12,0.0010192394256591797,0.002918720245361328,[]
841,3,0.0006473064422607422,0.0008873939514160156,[]
