time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0008068084716796875,0.01284027099609375,[]
61,49,0.0009758472442626953,0.02327704429626465,[]
121,69,0.0014681816101074219,0.02968430519104004,[]
181,91,0.0017359256744384766,0.0502018928527832,[]
241,100,0.0018715858459472656,0.03499174118041992,[]
301,98,0.0015163421630859375,0.03847336769104004,[]
361,91,0.0014612674713134766,0.03154301643371582,[]
421,80,0.001506805419921875,0.032347679138183594,[]
481,74,0.0013811588287353516,0.03877520561218262,[]
541,61,0.0012462139129638672,0.014207124710083008,[]
601,45,0.0009982585906982422,0.008949041366577148,[]
661,40,0.0009553432464599609,0.010145425796508789,[]
721,30,0.0007839202880859375,0.005476236343383789,[]
781,12,0.0007760524749755859,0.004042148590087891,[]
841,3,0.0006537437438964844,0.0013523101806640625,[]
