time-step,number of users,number of winners,prices
1,100,86,2884.963642343185
61,100,89,2737.8141014899766
121,100,75,1930.9568621046371
181,100,60,1119.5285022691623
241,99,65,1824.1682773959378
301,97,73,1952.6499381310234
361,92,70,2483.7041285847004
421,74,66,1539.398051702773
481,67,60,813.714475686364
541,61,62,427.0377159154363
601,48,41,282.80497054459966
661,39,36,847.6139646123529
721,32,29,340.73328060729295
781,21,21,0
841,13,13,0
901,10,9,272.6332061567215
961,3,3,0
