time-step,number of users,number of winners,social welfare
1,30,30,14463
61,45,35,19296
121,75,58,31621
181,91,65,37323
241,99,80,44227
301,100,55,33985
361,100,62,34498
421,100,51,29897
481,100,65,37589
541,100,66,39175
601,90,67,36270
661,59,47,23709
721,38,34,18377
781,19,18,10063
