time-step,number of winners,result list
1,30,"[('v22', 'c34'), ('v80', 'c34'), ('v7', 'c25'), ('v62', 'c25'), ('v1', 'c96'), ('v0', 'c25'), ('v5', 'c96'), ('v24', 'c96'), ('v8', 'c25'), ('v17', 'c34'), ('v18', 'c34'), ('v19', 'c52'), ('v20', 'c25'), ('v27', 'c25'), ('v11', 'c100'), ('v6', 'c100'), ('v21', 'c25'), ('v3', 'c96'), ('v12', 'c52'), ('v10', 'c96'), ('v43', 'c96'), ('v9', 'c96'), ('v15', 'c52'), ('v2', 'c34'), ('v16', 'c96'), ('v14', 'c52'), ('v13', 'c96'), ('v4', 'c52'), ('v25', 'c96'), ('v23', 'c34')]"
61,35,"[('v22', 'c37'), ('v95', 'c42'), ('v80', 'c37'), ('v7', 'c25'), ('v62', 'c25'), ('v1', 'c42'), ('v54', 'c42'), ('v99', 'c91'), ('v81', 'c42'), ('v0', 'c25'), ('v5', 'c42'), ('v24', 'c42'), ('v47', 'c42'), ('v8', 'c25'), ('v17', 'c37'), ('v75', 'c37'), ('v18', 'c37'), ('v36', 'c42'), ('v19', 'c91'), ('v20', 'c25'), ('v84', 'c37'), ('v27', 'c25'), ('v11', 'c100'), ('v6', 'c100'), ('v21', 'c25'), ('v12', 'c91'), ('v89', 'c37'), ('v10', 'c42'), ('v15', 'c91'), ('v2', 'c37'), ('v35', 'c91'), ('v14', 'c91'), ('v13', 'c42'), ('v4', 'c91'), ('v23', 'c37')]"
121,58,"[('v40', 'c19'), ('v22', 'c69'), ('v52', 'c14'), ('v98', 'c22'), ('v95', 'c17'), ('v80', 'c69'), ('v7', 'c102'), ('v74', 'c22'), ('v62', 'c102'), ('v1', 'c17'), ('v34', 'c14'), ('v54', 'c17'), ('v28', 'c19'), ('v99', 'c22'), ('v33', 'c22'), ('v81', 'c17'), ('v64', 'c19'), ('v0', 'c102'), ('v5', 'c17'), ('v24', 'c17'), ('v47', 'c17'), ('v67', 'c22'), ('v93', 'c22'), ('v8', 'c102'), ('v17', 'c69'), ('v75', 'c69'), ('v88', 'c69'), ('v83', 'c4'), ('v53', 'c14'), ('v63', 'c17'), ('v18', 'c69'), ('v19', 'c4'), ('v57', 'c69'), ('v20', 'c102'), ('v84', 'c88'), ('v30', 'c4'), ('v27', 'c102'), ('v68', 'c19'), ('v21', 'c102'), ('v12', 'c22'), ('v85', 'c22'), ('v89', 'c69'), ('v10', 'c17'), ('v26', 'c22'), ('v15', 'c4'), ('v2', 'c88'), ('v42', 'c88'), ('v72', 'c4'), ('v35', 'c22'), ('v14', 'c22'), ('v13', 'c17'), ('v94', 'c102'), ('v69', 'c4'), ('v4', 'c4'), ('v71', 'c69'), ('v48', 'c69'), ('v23', 'c69'), ('v59', 'c88')]"
181,65,"[('v40', 'c35'), ('v22', 'c14'), ('v52', 'c14'), ('v79', 'c14'), ('v98', 'c58'), ('v95', 'c82'), ('v80', 'c14'), ('v7', 'c35'), ('v74', 'c58'), ('v62', 'c35'), ('v1', 'c80'), ('v34', 'c14'), ('v54', 'c82'), ('v28', 'c35'), ('v99', 'c58'), ('v33', 'c58'), ('v81', 'c80'), ('v45', 'c35'), ('v64', 'c35'), ('v0', 'c35'), ('v5', 'c80'), ('v24', 'c80'), ('v47', 'c80'), ('v67', 'c58'), ('v93', 'c58'), ('v8', 'c64'), ('v17', 'c14'), ('v75', 'c14'), ('v88', 'c14'), ('v83', 'c2'), ('v63', 'c82'), ('v86', 'c2'), ('v36', 'c80'), ('v19', 'c2'), ('v20', 'c64'), ('v78', 'c58'), ('v73', 'c82'), ('v76', 'c82'), ('v92', 'c82'), ('v30', 'c2'), ('v27', 'c64'), ('v68', 'c64'), ('v11', 'c64'), ('v46', 'c58'), ('v6', 'c64'), ('v51', 'c80'), ('v91', 'c80'), ('v21', 'c64'), ('v49', 'c58'), ('v29', 'c64'), ('v82', 'c82'), ('v32', 'c2'), ('v12', 'c2'), ('v85', 'c58'), ('v10', 'c80'), ('v43', 'c80'), ('v9', 'c82'), ('v26', 'c2'), ('v35', 'c58'), ('v13', 'c80'), ('v41', 'c64'), ('v70', 'c18'), ('v25', 'c80'), ('v55', 'c71'), ('v37', 'c80')]"
241,80,"[('v61', 'c41'), ('v40', 'c30'), ('v22', 'c18'), ('v52', 'c18'), ('v65', 'c41'), ('v79', 'c18'), ('v98', 'c73'), ('v95', 'c21'), ('v80', 'c18'), ('v7', 'c31'), ('v87', 'c30'), ('v66', 'c31'), ('v74', 'c73'), ('v62', 'c31'), ('v1', 'c21'), ('v34', 'c18'), ('v54', 'c21'), ('v31', 'c30'), ('v28', 'c30'), ('v99', 'c73'), ('v33', 'c73'), ('v81', 'c21'), ('v45', 'c30'), ('v64', 'c30'), ('v0', 'c31'), ('v5', 'c21'), ('v24', 'c21'), ('v47', 'c21'), ('v67', 'c73'), ('v93', 'c73'), ('v8', 'c31'), ('v17', 'c18'), ('v75', 'c18'), ('v88', 'c18'), ('v53', 'c40'), ('v63', 'c21'), ('v58', 'c30'), ('v18', 'c40'), ('v36', 'c90'), ('v57', 'c40'), ('v20', 'c31'), ('v78', 'c73'), ('v84', 'c40'), ('v73', 'c85'), ('v76', 'c90'), ('v92', 'c85'), ('v27', 'c31'), ('v68', 'c30'), ('v11', 'c71'), ('v46', 'c73'), ('v6', 'c71'), ('v77', 'c40'), ('v56', 'c30'), ('v51', 'c90'), ('v90', 'c40'), ('v91', 'c90'), ('v21', 'c31'), ('v49', 'c73'), ('v29', 'c31'), ('v82', 'c90'), ('v3', 'c90'), ('v85', 'c73'), ('v89', 'c40'), ('v10', 'c21'), ('v43', 'c90'), ('v9', 'c90'), ('v2', 'c40'), ('v42', 'c40'), ('v35', 'c73'), ('v16', 'c90'), ('v13', 'c21'), ('v41', 'c30'), ('v94', 'c31'), ('v70', 'c40'), ('v60', 'c31'), ('v71', 'c40'), ('v50', 'c41'), ('v48', 'c40'), ('v23', 'c40'), ('v59', 'c59')]"
301,55,"[('v61', 'c6'), ('v40', 'c6'), ('v22', 'c46'), ('v52', 'c46'), ('v65', 'c6'), ('v79', 'c46'), ('v98', 'c55'), ('v95', 'c83'), ('v80', 'c46'), ('v7', 'c6'), ('v87', 'c6'), ('v66', 'c6'), ('v74', 'c55'), ('v62', 'c6'), ('v44', 'c20'), ('v1', 'c83'), ('v34', 'c46'), ('v54', 'c83'), ('v31', 'c20'), ('v28', 'c20'), ('v99', 'c55'), ('v33', 'c55'), ('v81', 'c83'), ('v45', 'c20'), ('v64', 'c20'), ('v0', 'c41'), ('v5', 'c83'), ('v24', 'c83'), ('v47', 'c83'), ('v67', 'c55'), ('v93', 'c55'), ('v8', 'c41'), ('v17', 'c46'), ('v75', 'c46'), ('v88', 'c46'), ('v63', 'c83'), ('v58', 'c20'), ('v20', 'c41'), ('v78', 'c55'), ('v27', 'c41'), ('v68', 'c20'), ('v11', 'c41'), ('v46', 'c55'), ('v6', 'c41'), ('v56', 'c20'), ('v49', 'c55'), ('v29', 'c20'), ('v85', 'c55'), ('v10', 'c83'), ('v35', 'c55'), ('v13', 'c83'), ('v41', 'c20'), ('v94', 'c20'), ('v60', 'c20'), ('v50', 'c20')]"
361,62,"[('v61', 'c26'), ('v40', 'c61'), ('v22', 'c33'), ('v52', 'c33'), ('v65', 'c26'), ('v79', 'c33'), ('v98', 'c81'), ('v95', 'c12'), ('v80', 'c33'), ('v7', 'c61'), ('v87', 'c26'), ('v66', 'c26'), ('v74', 'c81'), ('v62', 'c61'), ('v44', 'c26'), ('v1', 'c12'), ('v34', 'c33'), ('v54', 'c12'), ('v31', 'c26'), ('v99', 'c81'), ('v33', 'c81'), ('v81', 'c12'), ('v45', 'c26'), ('v0', 'c61'), ('v5', 'c12'), ('v24', 'c12'), ('v47', 'c12'), ('v67', 'c81'), ('v93', 'c81'), ('v8', 'c61'), ('v17', 'c33'), ('v75', 'c33'), ('v88', 'c33'), ('v53', 'c93'), ('v63', 'c12'), ('v18', 'c93'), ('v57', 'c93'), ('v20', 'c61'), ('v78', 'c81'), ('v84', 'c93'), ('v27', 'c61'), ('v68', 'c61'), ('v46', 'c81'), ('v77', 'c93'), ('v51', 'c23'), ('v90', 'c93'), ('v21', 'c61'), ('v49', 'c81'), ('v85', 'c15'), ('v89', 'c93'), ('v10', 'c12'), ('v2', 'c93'), ('v42', 'c93'), ('v35', 'c81'), ('v14', 'c81'), ('v13', 'c12'), ('v94', 'c61'), ('v70', 'c93'), ('v71', 'c93'), ('v48', 'c93'), ('v23', 'c93'), ('v59', 'c95')]"
421,51,"[('v61', 'c80'), ('v40', 'c80'), ('v22', 'c16'), ('v52', 'c16'), ('v65', 'c80'), ('v79', 'c16'), ('v98', 'c3'), ('v95', 'c84'), ('v80', 'c16'), ('v7', 'c80'), ('v87', 'c80'), ('v66', 'c80'), ('v74', 'c3'), ('v62', 'c80'), ('v1', 'c99'), ('v34', 'c16'), ('v54', 'c84'), ('v99', 'c3'), ('v33', 'c3'), ('v81', 'c84'), ('v5', 'c99'), ('v24', 'c99'), ('v47', 'c84'), ('v67', 'c3'), ('v93', 'c3'), ('v17', 'c16'), ('v75', 'c16'), ('v88', 'c16'), ('v63', 'c84'), ('v36', 'c84'), ('v57', 'c11'), ('v78', 'c3'), ('v73', 'c99'), ('v76', 'c84'), ('v92', 'c99'), ('v46', 'c3'), ('v77', 'c93'), ('v51', 'c99'), ('v91', 'c99'), ('v49', 'c3'), ('v82', 'c99'), ('v85', 'c3'), ('v10', 'c99'), ('v43', 'c99'), ('v42', 'c11'), ('v35', 'c3'), ('v13', 'c99'), ('v39', 'c99'), ('v25', 'c99'), ('v48', 'c11'), ('v59', 'c11')]"
481,65,"[('v61', 'c17'), ('v40', 'c17'), ('v22', 'c11'), ('v52', 'c11'), ('v65', 'c17'), ('v79', 'c11'), ('v98', 'c8'), ('v95', 'c92'), ('v80', 'c11'), ('v7', 'c17'), ('v87', 'c17'), ('v66', 'c17'), ('v74', 'c8'), ('v62', 'c17'), ('v1', 'c92'), ('v34', 'c11'), ('v54', 'c92'), ('v99', 'c8'), ('v33', 'c8'), ('v81', 'c92'), ('v5', 'c92'), ('v24', 'c92'), ('v47', 'c92'), ('v67', 'c8'), ('v93', 'c8'), ('v17', 'c11'), ('v75', 'c11'), ('v88', 'c11'), ('v83', 'c57'), ('v53', 'c50'), ('v63', 'c92'), ('v18', 'c50'), ('v86', 'c57'), ('v36', 'c84'), ('v19', 'c57'), ('v57', 'c50'), ('v78', 'c8'), ('v84', 'c50'), ('v73', 'c84'), ('v76', 'c84'), ('v92', 'c84'), ('v30', 'c57'), ('v46', 'c8'), ('v77', 'c50'), ('v51', 'c84'), ('v90', 'c50'), ('v91', 'c84'), ('v49', 'c8'), ('v82', 'c84'), ('v32', 'c57'), ('v12', 'c57'), ('v85', 'c8'), ('v89', 'c50'), ('v10', 'c92'), ('v43', 'c84'), ('v9', 'c84'), ('v26', 'c57'), ('v2', 'c50'), ('v42', 'c50'), ('v35', 'c8'), ('v13', 'c92'), ('v70', 'c50'), ('v71', 'c50'), ('v48', 'c50'), ('v23', 'c50')]"
541,66,"[('v61', 'c42'), ('v40', 'c42'), ('v22', 'c75'), ('v52', 'c75'), ('v65', 'c42'), ('v79', 'c75'), ('v98', 'c8'), ('v95', 'c38'), ('v80', 'c75'), ('v7', 'c17'), ('v87', 'c42'), ('v66', 'c42'), ('v74', 'c8'), ('v62', 'c17'), ('v44', 'c42'), ('v1', 'c38'), ('v34', 'c75'), ('v54', 'c38'), ('v31', 'c42'), ('v99', 'c8'), ('v33', 'c8'), ('v81', 'c38'), ('v0', 'c17'), ('v5', 'c38'), ('v24', 'c38'), ('v47', 'c38'), ('v67', 'c8'), ('v93', 'c8'), ('v8', 'c17'), ('v17', 'c75'), ('v75', 'c75'), ('v88', 'c75'), ('v83', 'c27'), ('v63', 'c38'), ('v86', 'c27'), ('v36', 'c86'), ('v19', 'c27'), ('v57', 'c50'), ('v20', 'c17'), ('v78', 'c8'), ('v73', 'c86'), ('v76', 'c86'), ('v92', 'c86'), ('v30', 'c27'), ('v27', 'c17'), ('v46', 'c8'), ('v51', 'c86'), ('v91', 'c86'), ('v21', 'c17'), ('v49', 'c8'), ('v82', 'c86'), ('v32', 'c27'), ('v12', 'c27'), ('v85', 'c8'), ('v89', 'c65'), ('v10', 'c38'), ('v43', 'c86'), ('v9', 'c86'), ('v26', 'c27'), ('v42', 'c50'), ('v35', 'c8'), ('v13', 'c38'), ('v94', 'c17'), ('v50', 'c54'), ('v48', 'c50'), ('v59', 'c50')]"
