time-step,number of users,number of winners,social welfare
1,100,86,10295
61,100,89,10745
121,100,75,8610
181,100,60,6943
241,99,65,7701
301,97,73,8350
361,92,70,8397
421,74,66,7941
481,67,60,7221
541,61,62,7744
601,48,41,4842
661,39,36,4331
721,32,29,3520
781,21,21,2547
841,13,13,1596
901,10,9,1110
961,3,3,451
