time-step,number of users,exec time,pricing time,two-phases time
1,8,0.10649967193603516,0.023536205291748047,"[0.0033233165740966797, 0.10291814804077148]"
61,8,0.11718320846557617,0.023157596588134766,"[0.003167867660522461, 0.11373472213745117]"
121,14,0.1959834098815918,0.03137779235839844,"[0.002564668655395508, 0.1931626796722412]"
181,18,0.39246463775634766,0.04856395721435547,"[0.004231691360473633, 0.38791894912719727]"
241,24,0.39005136489868164,0.1684250831604004,"[0.011097908020019531, 0.37858152389526367]"
301,25,0.37962913513183594,0.10608339309692383,"[0.006719350814819336, 0.37262964248657227]"
361,25,0.41277384757995605,0.0628502368927002,"[0.003973245620727539, 0.4084818363189697]"
421,25,0.4884529113769531,0.03914332389831543,"[0.003167867660522461, 0.48493123054504395]"
481,25,0.4787325859069824,0.036498069763183594,"[0.0025873184204101562, 0.4758718013763428]"
541,25,0.38521552085876465,0.10914039611816406,"[0.005295276641845703, 0.3795921802520752]"
601,25,0.4542684555053711,0.15963125228881836,"[0.008457660675048828, 0.4454965591430664]"
661,21,0.3504323959350586,0.09367871284484863,"[0.004515886306762695, 0.345656156539917]"
721,13,0.20408248901367188,0.05794715881347656,"[0.0038604736328125, 0.19996333122253418]"
781,10,0.15253973007202148,0.018987417221069336,"[0.001741170883178711, 0.15053939819335938]"
