time-step,number of winners,result list
1,7,"[('v6', 'c3'), ('v2', 'c3'), ('v14', 'c19'), ('v0', 'c3'), ('v1', 'c3'), ('v3', 'c3'), ('v5', 'c3')]"
61,7,"[('v6', 'c3'), ('v2', 'c3'), ('v14', 'c19'), ('v0', 'c3'), ('v1', 'c3'), ('v3', 'c3'), ('v5', 'c3')]"
121,11,"[('v6', 'c23'), ('v20', 'c23'), ('v2', 'c23'), ('v23', 'c23'), ('v13', 'c25'), ('v0', 'c23'), ('v3', 'c23'), ('v5', 'c23'), ('v9', 'c23'), ('v11', 'c25'), ('v18', 'c25')]"
181,12,"[('v6', 'c9'), ('v20', 'c9'), ('v10', 'c9'), ('v1', 'c9'), ('v11', 'c9'), ('v8', 'c9'), ('v0', 'c12'), ('v3', 'c12'), ('v5', 'c12'), ('v18', 'c9'), ('v7', 'c9'), ('v19', 'c9')]"
241,22,"[('v6', 'c10'), ('v20', 'c7'), ('v10', 'c7'), ('v16', 'c7'), ('v21', 'c18'), ('v4', 'c10'), ('v14', 'c14'), ('v22', 'c10'), ('v2', 'c10'), ('v23', 'c14'), ('v24', 'c18'), ('v0', 'c14'), ('v3', 'c10'), ('v5', 'c10'), ('v9', 'c7'), ('v11', 'c7'), ('v8', 'c7'), ('v18', 'c7'), ('v7', 'c7'), ('v19', 'c7'), ('v12', 'c18'), ('v15', 'c18')]"
301,19,"[('v6', 'c8'), ('v20', 'c8'), ('v10', 'c8'), ('v16', 'c8'), ('v21', 'c26'), ('v4', 'c18'), ('v2', 'c18'), ('v23', 'c26'), ('v24', 'c8'), ('v0', 'c18'), ('v3', 'c18'), ('v5', 'c18'), ('v9', 'c18'), ('v18', 'c8'), ('v7', 'c8'), ('v19', 'c8'), ('v12', 'c8'), ('v15', 'c8'), ('v17', 'c8')]"
361,18,"[('v6', 'c6'), ('v20', 'c6'), ('v10', 'c5'), ('v16', 'c5'), ('v21', 'c5'), ('v2', 'c6'), ('v23', 'c6'), ('v0', 'c6'), ('v3', 'c6'), ('v5', 'c6'), ('v9', 'c6'), ('v8', 'c5'), ('v18', 'c5'), ('v7', 'c5'), ('v19', 'c5'), ('v12', 'c5'), ('v15', 'c5'), ('v17', 'c5')]"
421,12,"[('v6', 'c16'), ('v20', 'c16'), ('v10', 'c16'), ('v16', 'c16'), ('v21', 'c16'), ('v24', 'c16'), ('v18', 'c16'), ('v7', 'c16'), ('v19', 'c16'), ('v12', 'c16'), ('v15', 'c16'), ('v17', 'c16')]"
481,12,"[('v6', 'c24'), ('v20', 'c24'), ('v10', 'c24'), ('v16', 'c24'), ('v21', 'c24'), ('v24', 'c24'), ('v18', 'c24'), ('v7', 'c24'), ('v19', 'c24'), ('v12', 'c24'), ('v15', 'c24'), ('v17', 'c24')]"
541,19,"[('v6', 'c20'), ('v20', 'c20'), ('v10', 'c20'), ('v16', 'c20'), ('v21', 'c2'), ('v14', 'c20'), ('v2', 'c24'), ('v23', 'c24'), ('v24', 'c2'), ('v0', 'c24'), ('v3', 'c24'), ('v5', 'c24'), ('v9', 'c24'), ('v18', 'c20'), ('v7', 'c20'), ('v19', 'c20'), ('v12', 'c2'), ('v15', 'c20'), ('v17', 'c20')]"
601,21,"[('v6', 'c2'), ('v20', 'c2'), ('v10', 'c2'), ('v16', 'c1'), ('v21', 'c1'), ('v14', 'c20'), ('v13', 'c2'), ('v2', 'c20'), ('v23', 'c2'), ('v11', 'c11'), ('v0', 'c2'), ('v3', 'c2'), ('v5', 'c20'), ('v9', 'c20'), ('v8', 'c1'), ('v18', 'c1'), ('v7', 'c1'), ('v19', 'c1'), ('v12', 'c1'), ('v15', 'c1'), ('v17', 'c1')]"
661,14,"[('v6', 'c11'), ('v20', 'c11'), ('v10', 'c4'), ('v16', 'c4'), ('v21', 'c0'), ('v13', 'c11'), ('v22', 'c4'), ('v24', 'c0'), ('v0', 'c11'), ('v3', 'c11'), ('v5', 'c11'), ('v8', 'c4'), ('v18', 'c11'), ('v7', 'c4')]"
721,11,"[('v6', 'c4'), ('v20', 'c4'), ('v10', 'c4'), ('v4', 'c13'), ('v2', 'c4'), ('v23', 'c4'), ('v24', 'c13'), ('v0', 'c4'), ('v3', 'c4'), ('v5', 'c4'), ('v9', 'c4')]"
781,8,"[('v6', 'c15'), ('v10', 'c15'), ('v2', 'c15'), ('v23', 'c15'), ('v0', 'c15'), ('v1', 'c15'), ('v3', 'c15'), ('v5', 'c15')]"
