time-step,number of users,number of winners,social welfare
1,8,7,4095
61,8,7,4095
121,14,11,6200
181,18,12,7450
241,24,22,11651
301,25,19,10077
361,25,18,10085
421,25,12,5680
481,25,12,5680
541,25,19,10081
601,25,21,11681
661,21,14,6481
721,13,11,5097
781,10,8,4198
