time-step,number of users,prices
1,20,881.9625
61,22,818.5625
121,27,486.40000000000003
181,25,795.4
241,27,486.40000000000003
301,22,788.4000000000001
361,24,584.0
421,22,600.0
481,20,450.0
541,15,0
601,15,0
661,14,0
721,9,0
781,7,0
841,6,0
