time-step,number of users,exec time,pricing time,two-phases time
1,32,0.001308441162109375,0.01027226448059082,[]
61,49,0.001476287841796875,0.019192934036254883,[]
121,69,0.0019538402557373047,0.024567604064941406,[]
181,91,0.003675222396850586,0.0706024169921875,[]
241,100,0.002294301986694336,0.02876591682434082,[]
301,98,0.0026590824127197266,0.03659772872924805,[]
361,91,0.002245187759399414,0.027498722076416016,[]
421,80,0.0022881031036376953,0.02871847152709961,[]
481,74,0.002397298812866211,0.03282809257507324,[]
541,61,0.0016036033630371094,0.01036524772644043,[]
601,45,0.0012426376342773438,0.0069730281829833984,[]
661,40,0.0015175342559814453,0.009323358535766602,[]
721,30,0.0014195442199707031,0.0042989253997802734,[]
781,12,0.0012249946594238281,0.003039121627807617,[]
841,3,0.0007796287536621094,0.0011897087097167969,[]
