time-step,number of users,number of winners,social welfare
1,100,70,7813
61,100,73,8277
121,100,72,8098
181,100,71,7969
241,99,78,9030
301,97,77,8925
361,92,76,8767
421,74,61,7179
481,67,56,6615
541,61,63,7893
601,48,48,5964
661,39,32,3720
721,32,28,3370
781,21,21,2547
841,13,13,1596
901,10,9,1110
961,3,3,451
