time-step,number of users,avg latency (for the allocated)
1,100,0.0
61,100,0.03441153041190494
121,100,0.12652855659881024
181,100,0.3011304565769682
241,99,0.2698416768178441
301,97,0.16397765500097966
361,92,0.22085032230675242
421,74,0.2831340189659838
481,67,0.36212466150541367
541,61,0.45502449498684905
601,48,0.19529209494942945
661,39,0.32767792439899013
721,32,0.32319551843507993
781,21,0.33685143112011556
841,13,0.28441139633541873
901,10,0.3962382477453613
961,3,0.6055100983401374
