time-step,number of users,exec time
1,1,0.0003619194030761719
61,1,0.0003104209899902344
121,1,0.0004248619079589844
181,1,0.0003361701965332031
241,1,0.00037932395935058594
301,1,0.000453948974609375
361,1,0.0005841255187988281
421,1,0.0004131793975830078
481,1,0.00037741661071777344
541,1,0.00032138824462890625
601,1,0.0005021095275878906
661,1,0.0004189014434814453
721,1,0.0006623268127441406
781,1,0.00040793418884277344
841,1,0.0003266334533691406
901,1,0.0005707740783691406
961,1,0.0005724430084228516
1021,1,0.00035452842712402344
1081,1,0.0003445148468017578
1141,1,0.00036907196044921875
1201,1,0.00033664703369140625
1261,1,0.0003445148468017578
1321,1,0.0004315376281738281
1381,1,0.00040030479431152344
1441,1,0.0003390312194824219
1501,1,0.00033545494079589844
1561,1,0.0004172325134277344
1621,1,0.0003399848937988281
1681,1,0.00037026405334472656
1741,1,0.0003535747528076172
1801,1,0.0003440380096435547
1861,1,0.00033211708068847656
1921,1,0.00037384033203125
1981,1,0.0003650188446044922
2041,1,0.00041103363037109375
