time-step,number of users,avg latency (for the allocated)
1,1,0.0029871192929283256
61,1,0.18317373185556757
121,1,0.011154424541804906
181,1,0.09853870325425775
241,1,0.12505649372847125
301,1,0.10704688908869557
361,1,0.29647613094217207
421,1,0.29724752712129726
481,1,0.26152624348296816
541,1,0.21320038999006685
601,1,0.15217588234712526
661,1,0.23388866823025503
721,1,0.22840294014040333
781,1,0.0
841,1,0.18195017808477543
901,1,0.2984885479660926
961,1,0.14170054492157427
1021,1,0.19122880968778486
1081,1,0.1317664192974182
1141,1,0.11739709805101183
1201,1,0.17983851721402525
1261,1,0.2713367733983237
1321,1,0.21541493171916729
1381,1,0.17780943672214983
1441,1,0.26573945669672366
1501,1,0.22118371842304288
1561,1,0.1557987460527542
1621,1,0.21320038999006685
1681,1,0.05858617748644115
1741,1,0.20880508388280003
1801,1,0.19879206326550136
1861,1,0.29583855187901853
1921,1,0.2660334975307949
1981,1,0.09660170134966044
2041,1,0.0
