time-step,number of users,exec time,pricing time,two-phases time
1,31,1.1747138500213623,0.12828731536865234,[]
61,39,1.8933765888214111,0.4037773609161377,[]
121,56,2.30306339263916,0.5099530220031738,[]
181,65,2.8250064849853516,1.5135228633880615,[]
241,80,4.266247749328613,6.711808204650879,[]
301,91,4.115805387496948,2.829606533050537,[]
361,97,4.559848308563232,10.90942096710205,[]
421,97,4.963998556137085,58.21714401245117,[]
481,97,4.724351406097412,11.701811075210571,[]
541,100,4.950503826141357,25.640738248825073,[]
601,100,5.015934944152832,5.492284297943115,[]
661,98,5.027184247970581,9.225119829177856,[]
721,83,3.9705371856689453,3.976935386657715,[]
781,69,3.441554307937622,5.1455910205841064,[]
841,59,2.7989113330841064,0.6664333343505859,[]
901,44,2.1569864749908447,1.7092161178588867,[]
961,44,2.427180290222168,2.620706558227539,[]
1021,44,2.4288885593414307,0.7156648635864258,[]
1081,42,2.2237913608551025,1.221024513244629,[]
1141,36,1.7500836849212646,0.21505045890808105,[]
1201,30,1.5082943439483643,0.3013134002685547,[]
1261,26,1.2750911712646484,0.09719967842102051,[]
1321,20,1.034104585647583,0.07808566093444824,[]
1381,15,0.7226104736328125,0.04234886169433594,[]
1441,14,0.6827104091644287,0.07786083221435547,[]
1501,2,0.09557700157165527,0.0022716522216796875,[]
