time-step,number of users,avg latency (for the allocated)
1,31,0.2051177269504349
61,39,0.2354800278699873
121,56,0.3269749341014898
181,65,0.21013151218949083
241,80,0.1544052422606427
301,91,0.17504103704656582
361,97,0.15336430977648838
421,97,0.28107895683856454
481,97,0.1683148412525112
541,100,0.3531573706929689
601,100,0.123422957019382
661,98,0.15820817719924465
721,83,0.18107557947805145
781,69,0.3204831870051197
841,59,0.12975753564808948
901,44,0.284042095093451
961,44,0.27466959033051663
1021,44,0.308084673271332
1081,42,0.2572633463338581
1141,36,0.07731007049675463
1201,30,0.2780866493544995
1261,26,0.30517317879133815
1321,20,0.27264676785963576
1381,15,0.3654852120464577
1441,14,0.3287546126738428
1501,2,0.2435316944638058
