time-step,number of users,avg latency (for the allocated)
1,32,0.21121134072065775
61,43,0.29040520887003946
121,72,0.31989744507170886
181,86,0.24969282330351064
241,97,0.2084132472898709
301,100,0.17775623636355797
361,100,0.16070670688284466
421,100,0.10549359388481416
481,100,0.30796532724529
541,100,0.18863768480290732
601,100,0.15549824225802295
661,95,0.3107735373517274
721,82,0.24365988288106655
781,62,0.27072115510061145
841,51,0.33344157374251776
901,46,0.22915514477935003
961,38,0.15893825966820443
1021,36,0.3052355438078959
1081,19,0.2875066861265597
1141,15,0.27886550680630295
1201,11,0.16840005973387198
1261,9,0.3796200235946194
