time-step,number of users,number of winners,social welfare
1,36,36,16688
61,65,65,31861
121,87,87,44692
181,99,99,51664
241,100,100,52065
301,98,98,50857
361,81,81,43068
421,55,55,28623
481,39,39,20218
541,15,15,8360
601,14,14,7566
