time-step,number of users,used cloudlets,used cpu avg,used cpu std,unused cpu,used storage avg,used storage std,unused storage,used ram avg,used ram std,unused ram
1,32,4,38.35435267857143,4.752845584767371,246.58258928571422,56.8695068359375,8.743132074002471,246.58258928571422,53.95829050164474,9.664940728767222,184.16683799342104
61,49,11,26.104707792207794,18.441572736127167,812.8482142857142,33.76945726799243,16.803933299293337,812.8482142857142,36.01205634158194,13.765934677750302,703.8673802425986
121,69,8,42.16032366071428,21.073818641687428,462.7174107142857,53.86793348524306,20.939886071138822,462.7174107142857,58.38197406969573,26.82633377757711,332.9442074424342
181,91,9,50.17058531746032,32.07006179148696,448.4647321428571,52.69315743152006,25.397130209488,448.4647321428571,60.9798676786367,23.159424235731805,351.18119089226974
241,100,6,65.17321428571428,23.42294168174584,208.9607142857143,72.31931333188658,14.787441850203368,208.9607142857143,72.62150279262609,7.489588501711024,164.27098324424344
301,98,9,54.77574404761905,26.237694432549553,407.0183035714286,62.60963722511575,27.3424579977444,407.0183035714286,60.22767184073465,30.724815853725094,357.9509534333882
361,91,6,66.35327380952383,22.612694862409494,201.8803571428571,75.61136881510417,16.682483673672436,201.8803571428571,83.97281044407895,15.15263399050542,96.1631373355263
421,80,7,57.9939413265306,28.148168552710224,294.0424107142857,64.78155226934523,23.241237432284017,294.0424107142857,64.48561589520678,19.5604726572461,248.60068873355266
481,74,7,67.08246173469388,14.764293242143319,230.42276785714287,75.09659055679563,15.158149521244791,230.42276785714287,78.0397343456297,17.008292185900622,153.7218595805921
541,61,4,59.38113839285714,35.59128865526561,162.47544642857142,65.07534450954861,35.62714584982145,162.47544642857142,59.52726665296053,34.085974307646715,161.8909333881579
601,45,3,55.24866071428571,39.64561135226836,134.25401785714286,55.29717339409722,31.23167784671871,134.25401785714286,58.24745579769737,38.51095405301039,125.25763260690789
661,40,4,56.233928571428564,35.18045427141531,175.0642857142857,52.0294189453125,24.942127080156958,175.0642857142857,47.30288856907895,25.470769661259002,210.78844572368422
721,30,2,68.65825892857143,31.173437499999995,62.68348214285715,69.74758572048611,8.045111762152775,62.68348214285715,62.44956568667763,11.209588301809216,75.10086862664474
781,12,2,45.37299107142857,31.168973214285714,109.25401785714286,53.137885199652786,30.79359266493056,109.25401785714286,59.970735248766445,17.868041992187496,80.05852950246711
841,3,1,23.101785714285715,0.0,76.89821428571429,24.346923828125,0.0,76.89821428571429,32.898912931743425,0.0,67.10108706825658
