time-step,number of winners,result list
1,32,"[('v20', 'c0'), ('v21', 'c0'), ('v27', 'c0'), ('v62', 'c0'), ('v95', 'c0'), ('v2', 'c10'), ('v3', 'c10'), ('v10', 'c10'), ('v17', 'c10'), ('v18', 'c10'), ('v22', 'c10'), ('v23', 'c10'), ('v0', 'c45'), ('v1', 'c45'), ('v4', 'c45'), ('v7', 'c45'), ('v8', 'c45'), ('v9', 'c45'), ('v12', 'c45'), ('v13', 'c45'), ('v16', 'c45'), ('v24', 'c45'), ('v25', 'c45'), ('v43', 'c45'), ('v5', 'c50'), ('v6', 'c50'), ('v11', 'c50'), ('v14', 'c50'), ('v15', 'c50'), ('v19', 'c50'), ('v35', 'c50'), ('v76', 'c50')]"
61,49,"[('v20', 'c0'), ('v21', 'c0'), ('v27', 'c0'), ('v62', 'c0'), ('v95', 'c0'), ('v40', 'c0'), ('v44', 'c0'), ('v5', 'c3'), ('v6', 'c3'), ('v11', 'c3'), ('v14', 'c3'), ('v15', 'c3'), ('v19', 'c3'), ('v35', 'c3'), ('v76', 'c3'), ('v83', 'c3'), ('v30', 'c3'), ('v69', 'c3'), ('v26', 'c5'), ('v33', 'c5'), ('v72', 'c5'), ('v46', 'c5'), ('v92', 'c5'), ('v2', 'c9'), ('v3', 'c9'), ('v10', 'c9'), ('v17', 'c9'), ('v18', 'c9'), ('v22', 'c9'), ('v23', 'c9'), ('v54', 'c9'), ('v78', 'c9'), ('v98', 'c9'), ('v0', 'c21'), ('v1', 'c21'), ('v4', 'c21'), ('v7', 'c21'), ('v8', 'c21'), ('v9', 'c21'), ('v12', 'c21'), ('v13', 'c21'), ('v16', 'c21'), ('v24', 'c21'), ('v25', 'c21'), ('v43', 'c21'), ('v73', 'c34'), ('v85', 'c34'), ('v89', 'c34'), ('v90', 'c34')]"
121,62,"[('v89', 'c3'), ('v90', 'c3'), ('v51', 'c3'), ('v74', 'c3'), ('v75', 'c3'), ('v88', 'c3'), ('v99', 'c3'), ('v42', 'c10'), ('v48', 'c10'), ('v57', 'c10'), ('v59', 'c10'), ('v0', 'c21'), ('v1', 'c21'), ('v4', 'c21'), ('v7', 'c21'), ('v8', 'c21'), ('v9', 'c21'), ('v12', 'c21'), ('v13', 'c21'), ('v16', 'c21'), ('v24', 'c21'), ('v25', 'c21'), ('v43', 'c21'), ('v5', 'c26'), ('v6', 'c26'), ('v11', 'c26'), ('v14', 'c26'), ('v35', 'c26'), ('v76', 'c26'), ('v83', 'c26'), ('v69', 'c26'), ('v33', 'c26'), ('v46', 'c26'), ('v32', 'c26'), ('v81', 'c26'), ('v67', 'c26'), ('v73', 'c34'), ('v85', 'c34'), ('v20', 'c37'), ('v21', 'c37'), ('v27', 'c37'), ('v62', 'c37'), ('v95', 'c37'), ('v40', 'c37'), ('v44', 'c37'), ('v56', 'c40'), ('v64', 'c40'), ('v84', 'c40'), ('v2', 'c46'), ('v3', 'c46'), ('v10', 'c46'), ('v17', 'c46'), ('v18', 'c46'), ('v22', 'c46'), ('v23', 'c46'), ('v54', 'c46'), ('v78', 'c46'), ('v98', 'c46'), ('v68', 'c48'), ('v28', 'c48'), ('v82', 'c48'), ('v93', 'c48')]"
181,84,"[('v11', 'c1'), ('v14', 'c1'), ('v35', 'c1'), ('v30', 'c1'), ('v69', 'c1'), ('v26', 'c1'), ('v72', 'c1'), ('v92', 'c1'), ('v32', 'c1'), ('v81', 'c1'), ('v67', 'c1'), ('v1', 'c3'), ('v7', 'c3'), ('v8', 'c3'), ('v9', 'c3'), ('v13', 'c3'), ('v24', 'c3'), ('v25', 'c3'), ('v43', 'c3'), ('v73', 'c3'), ('v89', 'c3'), ('v90', 'c3'), ('v42', 'c10'), ('v48', 'c10'), ('v57', 'c10'), ('v59', 'c10'), ('v91', 'c10'), ('v34', 'c10'), ('v53', 'c10'), ('v20', 'c12'), ('v44', 'c12'), ('v28', 'c12'), ('v64', 'c12'), ('v93', 'c12'), ('v87', 'c12'), ('v29', 'c12'), ('v97', 'c12'), ('v58', 'c12'), ('v2', 'c17'), ('v3', 'c17'), ('v10', 'c17'), ('v17', 'c17'), ('v18', 'c17'), ('v22', 'c17'), ('v23', 'c17'), ('v54', 'c17'), ('v78', 'c17'), ('v98', 'c17'), ('v79', 'c17'), ('v70', 'c17'), ('v5', 'c18'), ('v6', 'c18'), ('v15', 'c18'), ('v19', 'c18'), ('v76', 'c18'), ('v83', 'c18'), ('v33', 'c18'), ('v46', 'c18'), ('v49', 'c18'), ('v36', 'c30'), ('v37', 'c30'), ('v45', 'c30'), ('v71', 'c30'), ('v80', 'c30'), ('v96', 'c30'), ('v21', 'c39'), ('v27', 'c39'), ('v62', 'c39'), ('v40', 'c39'), ('v56', 'c39'), ('v68', 'c39'), ('v82', 'c39'), ('v84', 'c39'), ('v41', 'c39'), ('v77', 'c39'), ('v52', 'c39'), ('v60', 'c39'), ('v31', 'c39'), ('v51', 'c50'), ('v74', 'c50'), ('v75', 'c50'), ('v88', 'c50'), ('v99', 'c50'), ('v47', 'c50')]"
241,63,"[('v0', 'c5'), ('v13', 'c5'), ('v24', 'c5'), ('v25', 'c5'), ('v89', 'c5'), ('v51', 'c5'), ('v74', 'c5'), ('v75', 'c5'), ('v88', 'c5'), ('v47', 'c5'), ('v45', 'c5'), ('v96', 'c5'), ('v63', 'c5'), ('v1', 'c25'), ('v7', 'c25'), ('v8', 'c25'), ('v9', 'c25'), ('v12', 'c25'), ('v43', 'c25'), ('v73', 'c25'), ('v85', 'c25'), ('v90', 'c25'), ('v2', 'c26'), ('v3', 'c26'), ('v17', 'c26'), ('v18', 'c26'), ('v22', 'c26'), ('v54', 'c26'), ('v91', 'c26'), ('v34', 'c26'), ('v53', 'c26'), ('v70', 'c26'), ('v38', 'c26'), ('v39', 'c26'), ('v27', 'c28'), ('v40', 'c28'), ('v84', 'c28'), ('v93', 'c28'), ('v52', 'c28'), ('v97', 'c28'), ('v58', 'c28'), ('v66', 'c28'), ('v61', 'c28'), ('v11', 'c29'), ('v14', 'c29'), ('v35', 'c29'), ('v30', 'c29'), ('v69', 'c29'), ('v26', 'c29'), ('v72', 'c29'), ('v92', 'c29'), ('v32', 'c29'), ('v81', 'c29'), ('v67', 'c29'), ('v5', 'c35'), ('v6', 'c35'), ('v15', 'c35'), ('v19', 'c35'), ('v76', 'c35'), ('v83', 'c35'), ('v33', 'c35'), ('v46', 'c35'), ('v49', 'c35')]"
301,79,"[('v42', 'c5'), ('v48', 'c5'), ('v57', 'c5'), ('v59', 'c5'), ('v91', 'c5'), ('v34', 'c5'), ('v53', 'c5'), ('v0', 'c16'), ('v4', 'c16'), ('v13', 'c16'), ('v25', 'c16'), ('v89', 'c16'), ('v90', 'c16'), ('v51', 'c16'), ('v74', 'c16'), ('v75', 'c16'), ('v88', 'c16'), ('v99', 'c16'), ('v24', 'c25'), ('v47', 'c25'), ('v36', 'c25'), ('v37', 'c25'), ('v45', 'c25'), ('v71', 'c25'), ('v80', 'c25'), ('v63', 'c25'), ('v1', 'c26'), ('v7', 'c26'), ('v8', 'c26'), ('v9', 'c26'), ('v12', 'c26'), ('v16', 'c26'), ('v43', 'c26'), ('v73', 'c26'), ('v85', 'c26'), ('v62', 'c28'), ('v40', 'c28'), ('v28', 'c28'), ('v82', 'c28'), ('v84', 'c28'), ('v52', 'c28'), ('v97', 'c28'), ('v58', 'c28'), ('v65', 'c28'), ('v2', 'c30'), ('v3', 'c30'), ('v10', 'c30'), ('v17', 'c30'), ('v18', 'c30'), ('v22', 'c30'), ('v23', 'c30'), ('v54', 'c30'), ('v78', 'c30'), ('v98', 'c30'), ('v79', 'c30'), ('v70', 'c30'), ('v38', 'c38'), ('v39', 'c38'), ('v5', 'c43'), ('v6', 'c43'), ('v11', 'c43'), ('v14', 'c43'), ('v19', 'c43'), ('v35', 'c43'), ('v76', 'c43'), ('v83', 'c43'), ('v69', 'c43'), ('v32', 'c43'), ('v49', 'c43'), ('v67', 'c43'), ('v20', 'c50'), ('v27', 'c50'), ('v44', 'c50'), ('v64', 'c50'), ('v93', 'c50'), ('v31', 'c50'), ('v66', 'c50'), ('v61', 'c50'), ('v94', 'c50')]"
361,58,"[('v5', 'c2'), ('v11', 'c2'), ('v26', 'c2'), ('v32', 'c2'), ('v17', 'c3'), ('v22', 'c3'), ('v98', 'c3'), ('v42', 'c3'), ('v53', 'c3'), ('v14', 'c11'), ('v15', 'c11'), ('v92', 'c11'), ('v6', 'c24'), ('v19', 'c24'), ('v76', 'c24'), ('v69', 'c24'), ('v2', 'c30'), ('v3', 'c30'), ('v10', 'c30'), ('v18', 'c30'), ('v23', 'c30'), ('v54', 'c30'), ('v78', 'c30'), ('v48', 'c30'), ('v57', 'c30'), ('v59', 'c30'), ('v91', 'c30'), ('v34', 'c30'), ('v79', 'c30'), ('v70', 'c30'), ('v1', 'c38'), ('v7', 'c38'), ('v8', 'c38'), ('v9', 'c38'), ('v13', 'c38'), ('v24', 'c38'), ('v25', 'c38'), ('v43', 'c38'), ('v73', 'c38'), ('v89', 'c38'), ('v90', 'c38'), ('v51', 'c43'), ('v74', 'c43'), ('v88', 'c43'), ('v47', 'c43'), ('v36', 'c43'), ('v45', 'c43'), ('v96', 'c43'), ('v63', 'c43'), ('v27', 'c50'), ('v40', 'c50'), ('v84', 'c50'), ('v93', 'c50'), ('v52', 'c50'), ('v97', 'c50'), ('v58', 'c50'), ('v66', 'c50'), ('v61', 'c50')]"
421,62,"[('v62', 'c14'), ('v40', 'c14'), ('v28', 'c14'), ('v82', 'c14'), ('v84', 'c14'), ('v52', 'c14'), ('v97', 'c14'), ('v58', 'c14'), ('v65', 'c14'), ('v0', 'c24'), ('v8', 'c24'), ('v12', 'c24'), ('v13', 'c24'), ('v16', 'c24'), ('v24', 'c24'), ('v25', 'c24'), ('v43', 'c24'), ('v73', 'c24'), ('v85', 'c24'), ('v89', 'c24'), ('v90', 'c24'), ('v42', 'c28'), ('v48', 'c28'), ('v57', 'c28'), ('v59', 'c28'), ('v91', 'c28'), ('v34', 'c28'), ('v53', 'c28'), ('v2', 'c32'), ('v3', 'c32'), ('v10', 'c32'), ('v17', 'c32'), ('v18', 'c32'), ('v22', 'c32'), ('v23', 'c32'), ('v54', 'c32'), ('v78', 'c32'), ('v98', 'c32'), ('v79', 'c32'), ('v70', 'c32'), ('v51', 'c36'), ('v74', 'c36'), ('v88', 'c36'), ('v47', 'c36'), ('v36', 'c36'), ('v45', 'c36'), ('v96', 'c36'), ('v38', 'c36'), ('v63', 'c36'), ('v1', 'c43'), ('v4', 'c43'), ('v7', 'c43'), ('v9', 'c43'), ('v20', 'c50'), ('v27', 'c50'), ('v44', 'c50'), ('v64', 'c50'), ('v93', 'c50'), ('v31', 'c50'), ('v66', 'c50'), ('v61', 'c50'), ('v94', 'c50')]"
481,71,"[('v20', 'c7'), ('v27', 'c7'), ('v62', 'c7'), ('v95', 'c7'), ('v40', 'c7'), ('v44', 'c7'), ('v61', 'c7'), ('v65', 'c7'), ('v2', 'c12'), ('v18', 'c12'), ('v22', 'c12'), ('v23', 'c12'), ('v54', 'c12'), ('v78', 'c12'), ('v98', 'c12'), ('v42', 'c12'), ('v48', 'c12'), ('v57', 'c12'), ('v59', 'c12'), ('v91', 'c12'), ('v70', 'c12'), ('v56', 'c14'), ('v68', 'c14'), ('v28', 'c14'), ('v64', 'c14'), ('v82', 'c14'), ('v84', 'c14'), ('v93', 'c14'), ('v41', 'c14'), ('v87', 'c14'), ('v29', 'c14'), ('v55', 'c14'), ('v77', 'c14'), ('v60', 'c14'), ('v52', 'c22'), ('v97', 'c22'), ('v31', 'c22'), ('v58', 'c22'), ('v50', 'c22'), ('v66', 'c22'), ('v86', 'c22'), ('v73', 'c23'), ('v85', 'c23'), ('v89', 'c37'), ('v51', 'c37'), ('v74', 'c37'), ('v75', 'c37'), ('v99', 'c37'), ('v37', 'c37'), ('v45', 'c37'), ('v71', 'c37'), ('v96', 'c37'), ('v39', 'c37'), ('v63', 'c37'), ('v3', 'c39'), ('v10', 'c39'), ('v17', 'c39'), ('v34', 'c39'), ('v53', 'c39'), ('v79', 'c39'), ('v0', 'c44'), ('v1', 'c44'), ('v4', 'c44'), ('v7', 'c44'), ('v8', 'c44'), ('v9', 'c44'), ('v12', 'c44'), ('v13', 'c44'), ('v16', 'c44'), ('v24', 'c44'), ('v25', 'c44')]"
541,35,"[('v75', 'c0'), ('v71', 'c0'), ('v2', 'c37'), ('v3', 'c37'), ('v10', 'c37'), ('v17', 'c37'), ('v18', 'c37'), ('v22', 'c37'), ('v23', 'c37'), ('v78', 'c37'), ('v48', 'c37'), ('v91', 'c37'), ('v34', 'c37'), ('v53', 'c37'), ('v70', 'c37'), ('v27', 'c41'), ('v40', 'c41'), ('v84', 'c41'), ('v93', 'c41'), ('v52', 'c41'), ('v97', 'c41'), ('v58', 'c41'), ('v66', 'c41'), ('v61', 'c41'), ('v0', 'c48'), ('v1', 'c48'), ('v4', 'c48'), ('v7', 'c48'), ('v8', 'c48'), ('v9', 'c48'), ('v12', 'c48'), ('v13', 'c48'), ('v16', 'c48'), ('v24', 'c48'), ('v25', 'c48')]"
