time-step,number of users,number of winners,social welfare
1,31,29,16945
61,39,38,20640
121,56,55,28667
181,65,49,26410
241,80,50,30023
301,91,54,32467
361,97,56,34371
421,97,76,43706
481,97,64,37953
541,100,91,51283
601,100,50,31094
661,98,58,35294
721,83,60,36185
781,69,64,38199
841,59,33,21689
901,44,33,21511
961,44,34,20608
1021,44,38,23392
1081,42,33,21509
1141,36,18,13249
1201,30,28,16999
1261,26,26,15382
1321,20,19,10524
1381,15,15,7686
1441,14,14,7588
1501,2,2,1198
