time-step,latencies
1,0.0
11,0.4787758896595133
21,0.4791699651480705
31,0.48025055996802246
41,0.49916023910099194
51,0.49916023910099194
61,0.48422153483188024
71,0.46944455311657174
81,0.46944455311657174
91,0.756762994622004
101,0.8648017492526792
111,0.8309347699482184
121,0.8878741258430998
131,0.7466318046302202
141,0.5911126887045401
151,0.7560770399919974
161,0.7683868228103042
171,0.7054162092599113
181,0.7302719071060688
191,0.6000493429056775
201,0.7106890305320768
211,0.7230782565184807
221,0.7537761440617528
231,0.9405958093815727
241,0.7147182706240506
251,0.7831725109528778
261,0.8631788948338532
271,0.6757714687330489
281,0.5888657457504357
291,0.49895995159526074
301,0.5621997073845506
311,0.5823263233477018
321,0.6478933313559425
331,0.6884438543447133
341,0.813900603408746
351,0.8728816898172713
361,0.8832055947019447
371,0.7479111031318498
381,0.8481983815501386
391,0.902421599139497
401,0.8468517342701939
411,0.8468517342701939
421,0.6463516358671584
431,0.6463516358671584
441,0.4497134582806805
451,0.3418747782743131
461,0.3695220771914671
471,0.44377178757178903
481,0.6949222674272506
491,0.6949222674272506
501,0.6949222674272506
511,0.747532983349175
521,0.747532983349175
531,0.7368229350764015
541,0.6657186542396645
551,0.8882179425265863
561,0.8882179425265863
571,0.6908373563278196
581,0.3197375246260154
591,0.3197375246260154
601,0.49015823560895927
611,0.225532565185263
621,0.6106037145059919
631,0.5863031326792072
641,0.5863031326792072
651,0.6183908960924005
661,0.6120496171464641
671,0.6120496171464641
681,0.4684139487105671
691,0.4440197862173956
701,0.30474001552141455
711,0.02512218366404971
721,0.212950229474681
731,0.212950229474681
741,0.3604272813411689
751,0.5650305529206211
761,0.45945091048700376
771,1.334598349593859
781,1.334598349593859
791,1.334598349593859
801,0.9372365776100047
811,0.9372365776100047
821,0.9372365776100047
831,0.6387589528808805
841,0.6387589528808805
851,0.6387589528808805
861,0.6387589528808805
871,0.7847811056356574
881,0.7847811056356574
891,0.7847811056356574
901,0.8292872633616128
911,0.8292872633616128
921,0.6775606322707854
931,0.8742784138058434
941,0.8742784138058434
951,1.0711187303120855
961,1.0711187303120855
971,1.1113372727671351
981,1.1113372727671351
991,0.943864863374265
1001,0.9095657717248965
1011,0.9095657717248965
1021,1.094403910094635
1031,1.094403910094635
1041,0.051691091365257534
1051,0.051691091365257534
1061,0.4906020017193242
1071,0.4906020017193242
1081,0.6443422889667665
1091,0.6443422889667665
1101,1.2137442692033888
1111,1.2137442692033888
1121,1.2137442692033888
1131,0.7149491619422503
1141,0.7149491619422503
1151,0.7149491619422503
1161,0.7941641414750752
1171,0.7941641414750752
1181,0.9347409986068669
1191,0.40083475271429664
1201,0.40083475271429664
1211,0.40083475271429664
1221,0.9025404811501323
1231,0.715408429435162
1241,0.715408429435162
1251,0.715408429435162
1261,0.715408429435162
1271,0.8711643886398921
1281,0.8711643886398921
1291,0.25572414290518153
1301,0.25572414290518153
1311,0.18338892887915847
1321,0.18338892887915847
1331,0.18338892887915847
1341,0.5510926933412204
1351,0.5510926933412204
1361,0.43610047504766614
1371,0.43610047504766614
1381,0.43610047504766614
1391,0.656370153411275
1401,0.5875811167537077
1411,0.6193271749645773
1421,0.6193271749645773
1431,0.8022633119822132
1441,0.8087391642050592
1451,0.8087391642050592
