time-step,cloudlets usage
1,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
11,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
21,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
31,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
41,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
51,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
61,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
71,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
81,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
91,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
101,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
111,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
121,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
131,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
141,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
151,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
161,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
171,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
181,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
191,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
201,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
211,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
221,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
231,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
241,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
251,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
261,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
271,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
281,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
291,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
301,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
311,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
321,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
331,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
341,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
351,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
361,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
371,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
381,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
391,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
401,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
411,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
421,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
431,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
441,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
451,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
461,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
471,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
481,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
491,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
501,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
511,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
521,"(0.001338311853416485, 9.635845344746485e-05, 0.002007467780146044)"
