time-step,social welfare
1,13156
11,13156
21,13156
31,13156
41,13156
51,13156
61,13156
71,13156
81,13156
91,13156
101,13156
111,12964
121,12964
131,12964
141,12859
151,12761
161,12761
171,12458
181,12219
191,12059
201,11714
211,11412
221,11109
231,10948
241,10815
251,10571
261,10571
271,10414
281,10414
291,9954
301,9851
311,9652
321,9359
331,9063
341,8962
351,8807
361,8807
371,8503
381,8204
391,7907
401,7758
411,7458
421,7458
431,7059
441,6815
451,6721
461,6619
471,6619
481,6211
491,5919
501,5919
511,5675
521,5523
531,5523
541,5523
551,5369
561,5369
571,4879
581,4720
591,4621
601,4475
611,4475
621,4022
631,4022
641,3734
651,3734
661,3431
671,3280
681,3280
691,3280
701,3280
711,2982
721,2872
731,2624
741,2480
751,2378
761,2378
771,2075
781,1923
791,1772
801,1772
811,1772
821,1772
831,1622
841,1467
851,1467
861,1157
871,1053
881,1053
891,1053
901,1053
911,1053
921,1053
931,947
941,810
951,810
961,810
971,706
981,706
991,706
1001,706
1011,558
1021,558
1031,558
1041,558
1051,558
1061,558
1071,558
1081,558
1091,558
1101,410
1111,261
1121,261
1131,261
1141,261
1151,261
1161,261
1171,261
1181,261
1191,261
1201,261
1211,261
1221,261
1231,261
1241,261
1251,155
1261,155
1271,155
1281,155
1291,155
1301,155
1311,155
1321,155
1331,155
1341,155
1351,155
1361,155
1371,155
1381,155
1391,155
1401,155
1411,155
1421,155
1431,155
1441,155
1451,155
