time-step,cloudlets usage
911,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
921,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
931,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
941,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
951,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
961,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
971,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
981,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
991,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1001,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1011,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1021,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1031,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1041,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1051,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1061,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1071,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1081,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1091,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1101,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1111,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1121,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1131,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1141,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1151,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1161,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1171,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1181,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1191,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1201,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1211,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1221,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1231,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1241,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1251,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1261,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1271,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1281,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1291,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1301,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1311,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1321,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1331,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1341,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1351,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1361,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1371,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1381,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1391,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1401,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1411,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1421,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1431,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1441,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
1451,"(0.03415510254205856, 0.008268940731298358, 0.019979775574114456)"
