time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0008749961853027344,0.00023627281188964844,[]
61,49,0.001024484634399414,0.00039196014404296875,[]
121,69,0.0013973712921142578,0.0299527645111084,[]
181,91,0.002156972885131836,0.049523353576660156,[]
241,100,0.0016486644744873047,0.03737282752990723,[]
301,98,0.002006053924560547,0.05070328712463379,[]
361,91,0.0016138553619384766,0.03309035301208496,[]
421,80,0.0014638900756835938,0.038472890853881836,[]
481,74,0.001348733901977539,0.03873467445373535,[]
541,61,0.001142740249633789,0.015061616897583008,[]
601,45,0.0008981227874755859,0.008782625198364258,[]
661,40,0.0009543895721435547,0.013838768005371094,[]
721,30,0.0007903575897216797,0.00545811653137207,[]
781,12,0.0007877349853515625,0.0001277923583984375,[]
841,3,0.0005161762237548828,7.724761962890625e-05,[]
