time-step,number of users,avg latency (for the allocated)
1,1,0.09583211402940067
61,1,0.17970390820600926
121,1,0.0
181,1,0.09853870325425775
241,1,0.0
301,1,0.10704688908869557
361,1,0.2433881249257444
421,1,0.038415713794239664
481,1,0.17398810875905024
541,1,0.21320038999006685
601,1,0.04302482108463456
661,1,0.2129036082690122
721,1,0.18139864424045896
781,1,0.0
841,1,0.2713367733983237
901,1,0.1502899236878911
961,1,0.042123527041147496
1021,1,0.28814473736013957
1081,1,0.1317664192974182
1141,1,0.1037425078997277
1201,1,0.17983851721402525
1261,1,0.21670311031866848
1321,1,0.09307210304395883
1381,1,0.17780943672214983
1441,1,0.12984688981123396
1501,1,0.26159773788247703
1561,1,0.0
1621,1,0.27809068700386563
1681,1,0.05858617748644115
1741,1,0.27317473700159034
1801,1,0.0
1861,1,0.29583855187901853
1921,1,0.18068736022389215
1981,1,0.28873474168708924
2041,1,0.153956909266472
