time-step,number of users,exec time
1,1,0.01944875717163086
61,1,0.023754119873046875
121,1,0.017856597900390625
181,1,2.638993501663208
241,1,3.286057949066162
301,1,3.5541863441467285
361,1,4.045382022857666
421,1,4.277774333953857
481,1,4.702998876571655
541,1,4.805186748504639
601,1,4.570040464401245
661,1,4.099948167800903
721,1,4.138259410858154
781,1,4.360198259353638
841,1,5.181833744049072
901,1,4.95792555809021
961,1,5.289573431015015
1021,1,5.526220798492432
1081,1,5.280848741531372
1141,1,5.638606309890747
1201,1,6.2417097091674805
1261,1,5.8746421337127686
1321,1,6.1672797203063965
1381,1,7.074036121368408
1441,1,6.259086608886719
1501,1,6.699278354644775
1561,1,5.950380325317383
1621,1,6.312397480010986
1681,1,8.335307598114014
1741,1,11.489018678665161
1801,1,11.56617522239685
1861,1,10.288010358810425
1921,1,11.78051209449768
1981,1,12.071128368377686
2041,1,7.2804975509643555
