time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0014972686767578125,0.010360240936279297,[]
61,49,0.0014543533325195312,0.019373178482055664,[]
121,69,0.0015642642974853516,0.0236666202545166,[]
181,91,0.002001523971557617,0.04260611534118652,[]
241,100,0.0017669200897216797,0.02791595458984375,[]
301,98,0.0018520355224609375,0.03573250770568848,[]
361,91,0.0015854835510253906,0.029107332229614258,[]
421,80,0.0015492439270019531,0.028489351272583008,[]
481,74,0.00173187255859375,0.03304648399353027,[]
541,61,0.001790761947631836,0.012110233306884766,[]
601,45,0.0011277198791503906,0.008337736129760742,[]
661,40,0.0012907981872558594,0.009856939315795898,[]
721,30,0.0011546611785888672,0.005240201950073242,[]
781,12,0.0012557506561279297,0.0030679702758789062,[]
841,3,0.0007851123809814453,0.0009906291961669922,[]
