time-step,number of users,avg latency (for the allocated)
1,144,0.28659842574142347
61,190,0.28401018192193034
121,255,0.2545742426408106
181,321,0.2315540281987472
241,382,0.26692102029233755
301,436,0.1630929198726347
361,480,0.2447977497246811
421,493,0.17738289537525773
481,496,0.21794332100129613
541,500,0.21454365836261788
601,500,0.21274786717302652
661,500,0.18417221172156478
721,500,0.2516925846077809
781,500,0.20969861539411203
841,494,0.22720118573646278
901,484,0.23668659383543322
961,458,0.19075973472148192
1021,402,0.2591424103095127
1081,359,0.23944201797364742
1141,299,0.2563667712364151
1201,247,0.2118817257872089
1261,199,0.22221990901044344
1321,153,0.2875039433625413
1381,122,0.26540266502999454
1441,93,0.1785341810780069
1501,75,0.26382470879969333
1561,48,0.1907313560893575
1621,45,0.322186839459465
1681,32,0.1769403248498857
1741,28,0.17028590882859565
1801,26,0.4439992905209567
1861,20,0.3145873132280067
1921,9,0.4490147701768675
