time-step,number of users,avg latency (for the allocated)
1,32,0.24497145360357353
61,49,0.3732700475689526
121,69,0.2282115381674177
181,91,0.2256885334154646
241,100,0.1800386384045476
301,98,0.2574560372802895
361,91,0.2031413031517771
421,80,0.2008094237294525
481,74,0.28461271071749067
541,61,0.105909264441626
601,45,0.13675548105354915
661,40,0.1917077114637342
721,30,0.10655225377850798
781,12,0.43408991355614773
841,3,0.28495332119796574
