time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0010569095611572266,0.010023117065429688,[]
61,49,0.0012385845184326172,0.01889944076538086,[]
121,69,0.0016562938690185547,0.024775028228759766,[]
181,91,0.0019228458404541016,0.042852163314819336,[]
241,100,0.0019123554229736328,0.03151297569274902,[]
301,98,0.0020301342010498047,0.04331183433532715,[]
361,91,0.0016307830810546875,0.027808427810668945,[]
421,80,0.0017879009246826172,0.03292346000671387,[]
481,74,0.001832723617553711,0.03344082832336426,[]
541,61,0.001661539077758789,0.012413978576660156,[]
601,45,0.0011310577392578125,0.0068547725677490234,[]
661,40,0.0010714530944824219,0.010948657989501953,[]
721,30,0.0009829998016357422,0.0040819644927978516,[]
781,12,0.0009419918060302734,0.0029244422912597656,[]
841,3,0.0006794929504394531,0.0009534358978271484,[]
