time-step,number of users,avg latency (for the allocated)
1,100,0.0
61,100,0.05840500041553031
121,100,0.15413734065053772
181,100,0.35302588502228255
241,99,0.3291877706022623
301,97,0.29478739749833544
361,92,0.2766792263368106
421,74,0.40949050052503444
481,67,0.4812108231721792
541,61,0.42837309713017685
601,48,0.20302347897574005
661,39,0.4378270951192965
721,32,0.36326046792202643
781,21,0.17280247483170177
841,13,0.4620014148903905
901,10,0.16734548408382882
961,3,0.6055100983401374
