time-step,number of users,number of winners,prices
1,30,30,0
61,45,38,4328.276286085125
121,75,62,7877.720159037095
181,91,73,28418.91001410709
241,99,87,9249.973981773257
301,100,66,23864.928965067313
361,100,66,23206.86025758035
421,100,56,21823.99006095351
481,100,67,29530.722935351852
541,100,74,27782.0140128778
601,90,71,8166.501004649367
661,59,49,8254.661009164553
721,38,35,3990.2541041104923
781,19,18,2379.1597676551514
