time-step,number of users,prices
1,86,2698.7631058598286
61,89,2551.4417442108593
121,77,2201.5814205918755
181,60,1191.4706719694502
241,78,1813.869064732584
301,76,2201.5814205918755
361,79,1722.8787057069542
421,66,1355.4961103026562
481,60,732.6580058659056
541,62,387.71235585929156
601,41,243.87547735612884
661,36,810.4185288892508
721,29,275.2768424080492
781,21,0
841,13,0
901,9,255.2496767894084
961,3,0
