time-step,number of users,number of winners,prices
1,36,36,0
61,65,65,0
121,87,87,0
181,99,99,0
241,100,100,0
301,98,98,0
361,81,81,0
421,55,55,0
481,39,39,0
541,15,15,0
601,14,14,0
