time-step,number of users,prices
1,76,2127.6700992100855
61,85,2433.9980989011515
121,98,3147.2592473885024
181,88,2730.05996012617
241,98,3408.378627165408
301,85,1770.6017222874323
361,82,1869.2918222005349
421,82,2802.7572103838766
481,68,1002.497072950201
541,64,802.4322461968087
601,58,879.1856481034756
661,41,700.8769547854023
721,30,0
781,12,0
841,4,0
