time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0012378692626953125,0.010197162628173828,[]
61,49,0.001798868179321289,0.019434213638305664,[]
121,69,0.0016455650329589844,0.026437759399414062,[]
181,91,0.0016829967498779297,0.04459047317504883,[]
241,100,0.0021317005157470703,0.0333399772644043,[]
301,98,0.0018036365509033203,0.04079866409301758,[]
361,91,0.0019137859344482422,0.03271293640136719,[]
421,80,0.0017697811126708984,0.03229808807373047,[]
481,74,0.002285480499267578,0.035903215408325195,[]
541,61,0.0017077922821044922,0.015082120895385742,[]
601,45,0.0011301040649414062,0.00897836685180664,[]
661,40,0.0014603137969970703,0.010961294174194336,[]
721,30,0.0012125968933105469,0.006157398223876953,[]
781,12,0.0011506080627441406,0.002985715866088867,[]
841,3,0.0007510185241699219,0.0010368824005126953,[]
