time-step,number of users,exec time,pricing time,two-phases time
1,32,1.7477264404296875,97.34863352775574,"[0.01621413230895996, 1.7310621738433838]"
61,49,3.290903091430664,402.35658144950867,"[0.03772687911987305, 3.2526955604553223]"
121,69,6.903514385223389,543.2455513477325,"[0.03257560729980469, 6.870477199554443]"
181,91,8.638660669326782,996.7317147254944,"[0.04067087173461914, 8.597505807876587]"
241,100,11.288858413696289,915.9246575832367,"[0.0313260555267334, 11.257012844085693]"
301,98,11.406020641326904,1030.7094147205353,"[0.03710222244262695, 11.368400812149048]"
361,91,10.286808967590332,843.4311525821686,"[0.03595781326293945, 10.250369310379028]"
421,80,8.253297090530396,564.1971707344055,"[0.02807903289794922, 8.224719524383545]"
481,74,6.157135963439941,820.7024645805359,"[0.03542304039001465, 6.121203660964966]"
541,61,6.2296459674835205,234.9945936203003,"[0.016634702682495117, 6.212579965591431]"
601,45,4.545574426651001,136.98322248458862,"[0.013782501220703125, 4.531367063522339]"
661,40,4.158044099807739,97.9175615310669,"[0.011523008346557617, 4.146057367324829]"
721,30,2.304260730743408,32.856871128082275,"[0.006661653518676758, 2.297184944152832]"
781,12,0.5551190376281738,18.42069673538208,"[0.010470151901245117, 0.5442326068878174]"
841,3,0.14327716827392578,0.42885875701904297,"[0.0015609264373779297, 0.14130949974060059]"
