time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0011289119720458984,0.00026488304138183594,[]
61,49,0.001318216323852539,0.0004413127899169922,[]
121,69,0.0016508102416992188,0.03095245361328125,[]
181,91,0.00211334228515625,0.05045151710510254,[]
241,100,0.0021533966064453125,0.03585100173950195,[]
301,98,0.002159595489501953,0.04129195213317871,[]
361,91,0.0019757747650146484,0.033142805099487305,[]
421,80,0.0018296241760253906,0.03303384780883789,[]
481,74,0.001806497573852539,0.04016613960266113,[]
541,61,0.002374410629272461,0.025127410888671875,[]
601,45,0.0014238357543945312,0.010094642639160156,[]
661,40,0.001500844955444336,0.010424137115478516,[]
721,30,0.0011713504791259766,0.005770206451416016,[]
781,12,0.0010294914245605469,0.00014901161193847656,[]
841,3,0.0007719993591308594,8.344650268554688e-05,[]
