time-step,number of users,number of winners,social welfare
1,30,28,13267
61,45,37,19083
121,75,59,30809
181,91,59,29189
241,99,78,40151
301,100,54,30066
361,100,66,34177
421,100,54,27991
481,100,55,29161
541,100,69,37412
601,90,59,31867
661,59,44,21393
721,38,32,16572
781,19,18,10063
