time-step,number of users,avg latency (for the allocated)
1,30,0.2847404074415937
61,45,0.17967199418106036
121,75,0.2535913173574153
181,91,0.22047725211914976
241,99,0.30164639776552865
301,100,0.13100018313558112
361,100,0.15655741098482376
421,100,0.13323692883909327
481,100,0.19043017192765643
541,100,0.2533169861634878
601,90,0.20604240257537434
661,59,0.19298977967087708
721,38,0.21442355946727507
781,19,0.14165133013380632
