time-step,number of users,number of winners,prices
1,30,28,0
61,45,37,10260.845973106689
121,75,59,17992.72322128171
181,91,59,17606.62923560788
241,99,78,22094.2836482061
301,100,54,22553.280248565257
361,100,66,21228.775481034616
421,100,54,19350.582626688083
481,100,55,18165.557528399728
541,100,69,19752.078074933444
601,90,59,24564.020195268327
661,59,44,10413.410975963357
721,38,32,8607.945770598368
781,19,18,7088.530809058197
