time-step,number of users,number of winners,social welfare
1,30,20,2218
61,30,22,2520
121,30,27,3263
181,30,25,2961
241,30,27,3263
301,28,22,2562
361,28,24,2862
421,23,22,2723
481,21,20,2479
541,15,15,1831
601,15,15,1831
661,13,14,1679
721,9,9,1039
781,7,7,792
841,6,6,711
