time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0011124610900878906,0.01011514663696289,[]
61,49,0.0012180805206298828,0.019092082977294922,[]
121,69,0.0014734268188476562,0.024413347244262695,[]
181,91,0.0018265247344970703,0.041591644287109375,[]
241,100,0.0017542839050292969,0.028551816940307617,[]
301,98,0.0021085739135742188,0.03602480888366699,[]
361,91,0.0020360946655273438,0.02759265899658203,[]
421,80,0.0018160343170166016,0.02864837646484375,[]
481,74,0.0018305778503417969,0.03234243392944336,[]
541,61,0.0014736652374267578,0.010280847549438477,[]
601,45,0.001257181167602539,0.006944417953491211,[]
661,40,0.0010890960693359375,0.009171009063720703,[]
721,30,0.0010666847229003906,0.004131793975830078,[]
781,12,0.0011479854583740234,0.003041982650756836,[]
841,3,0.0007278919219970703,0.0009708404541015625,[]
