time-step,number of users,exec time,pricing time,two-phases time
1,32,1.694629192352295,93.71710109710693,"[0.01569986343383789, 1.6784677505493164]"
61,49,3.166637897491455,388.2213087081909,"[0.03628396987915039, 3.129870653152466]"
121,69,6.877861022949219,543.6720225811005,"[0.03291678428649902, 6.844439268112183]"
181,91,8.668572187423706,999.1810233592987,"[0.041196346282958984, 8.626861333847046]"
241,100,11.30995774269104,919.7461676597595,"[0.031604766845703125, 11.277802467346191]"
301,98,11.446478843688965,1034.4847362041473,"[0.037282705307006836, 11.40869688987732]"
361,91,10.340348243713379,855.3360929489136,"[0.03632307052612305, 10.303542375564575]"
421,80,8.334935188293457,569.5130715370178,"[0.02850794792175293, 8.305940389633179]"
481,74,6.198672294616699,700.3062145709991,"[0.03587913513183594, 6.162316083908081]"
541,61,6.289550542831421,307.71912360191345,"[0.016536474227905273, 6.272528409957886]"
601,45,4.581119775772095,137.7857015132904,"[0.01401209831237793, 4.566643476486206]"
661,40,4.173895359039307,98.47165775299072,"[0.011606693267822266, 4.161852836608887]"
721,30,2.315896987915039,33.03517270088196,"[0.006776332855224609, 2.308661460876465]"
781,12,0.5584671497344971,18.519816160202026,"[0.010572671890258789, 0.5474698543548584]"
841,3,0.14398622512817383,0.4308798313140869,"[0.0015900135040283203, 0.14195585250854492]"
