time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0008096694946289062,0.012906074523925781,[]
61,49,0.0009729862213134766,0.023900985717773438,[]
121,69,0.0013077259063720703,0.029366016387939453,[]
181,91,0.0015208721160888672,0.0493161678314209,[]
241,100,0.0017037391662597656,0.03410196304321289,[]
301,98,0.0014617443084716797,0.038008928298950195,[]
361,91,0.001531839370727539,0.031958818435668945,[]
421,80,0.0013620853424072266,0.03142237663269043,[]
481,74,0.0013093948364257812,0.03849458694458008,[]
541,61,0.0011870861053466797,0.01413416862487793,[]
601,45,0.0009462833404541016,0.008880138397216797,[]
661,40,0.0008835792541503906,0.010057687759399414,[]
721,30,0.0008044242858886719,0.005459785461425781,[]
781,12,0.0008273124694824219,0.0040819644927978516,[]
841,3,0.0006043910980224609,0.0012059211730957031,[]
