time-step,number of users,exec time,pricing time,two-phases time
1,32,0.0009930133819580078,0.010135412216186523,[]
61,49,0.0011713504791259766,0.01896214485168457,[]
121,69,0.001392364501953125,0.023090124130249023,[]
181,91,0.0016820430755615234,0.04161190986633301,[]
241,100,0.0016417503356933594,0.04162907600402832,[]
301,98,0.001737356185913086,0.03457283973693848,[]
361,91,0.0015478134155273438,0.02852630615234375,[]
421,80,0.0015633106231689453,0.028270721435546875,[]
481,74,0.0016219615936279297,0.03285789489746094,[]
541,61,0.0012433528900146484,0.01150202751159668,[]
601,45,0.0010828971862792969,0.008106231689453125,[]
661,40,0.0010402202606201172,0.009524345397949219,[]
721,30,0.0010302066802978516,0.005178213119506836,[]
781,12,0.0009942054748535156,0.00296783447265625,[]
841,3,0.0006899833679199219,0.0009093284606933594,[]
